http://www.sydney.com/destinations/sydney/sydney-west/surrounds/attractions/ambrosia-olive-farm,Ambrosia Olive Farm
http://www.sydney.com/destinations/sydney/sydney-west/picton/attractions/antill-park-country-golf-club,Antill Park Country Golf Club
http://www.sydney.com/destinations/sydney/sydney-west/sydney-olympic-park/attractions/anz-stadium-9035264,ANZ Stadium
http://www.sydney.com/destinations/sydney/sydney-west/appin/attractions/appin-hotel,Appin Hotel
http://www.sydney.com/destinations/sydney/sydney-west/penrith/attractions/aqua-golf-penrith,Aqua Golf Penrith
http://www.sydney.com/destinations/sydney/sydney-west/penrith/attractions/arms-of-australia-inn-museum,Arms of Australia Inn Museum
http://www.sydney.com/destinations/sydney/sydney-west/surrounds/attractions/avon-dam,Avon Dam
http://www.sydney.com/destinations/sydney/sydney-west/surrounds/attractions/bargo-sports-club,Bargo Sports Club
http://www.sydney.com/destinations/sydney/sydney-west/appin/attractions/battlefun-laser-skirmish,Battlefun Laser Skirmish
http://www.sydney.com/destinations/sydney/sydney-west/camden/attractions/belgenny-farm,Belgenny Farm
http://www.sydney.com/destinations/sydney/sydney-west/surrounds/attractions/bellamy-fire-trail,Bellamy fire trail
http://www.sydney.com/destinations/sydney/sydney-west/surrounds/attractions/bents-basin-road-picnic-area,Bents Basin Road picnic area
http://www.sydney.com/destinations/sydney/sydney-west/penrith/attractions/bents-basin-state-conservation-area,Bents Basin State Conservation Area
http://www.sydney.com/destinations/sydney/sydney-west/sydney-olympic-park/attractions/bicentennial-park-sydney-olympic-park,Bicentennial Park - Sydney Olympic Park
http://www.sydney.com/destinations/sydney/sydney-west/sydney-olympic-park/attractions/birds-australia-discovery-centre,Birds Australia Discovery Centre
http://www.sydney.com/destinations/sydney/sydney-west/blacktown/attractions/blacktown-arts-centre,Blacktown Arts Centre
http://www.sydney.com/destinations/sydney/sydney-west/blacktown/attractions/blacktown-international-sportspark,Blacktown International Sportspark
http://www.sydney.com/destinations/sydney/sydney-west/blacktown/attractions/blacktown-skyline-drive-in,Blacktown Skyline Drive In
http://www.sydney.com/destinations/sydney/sydney-west/penrith/attractions/blue-mountains-honey-company-the-honey-shed,Blue Mountains Honey Company - The Honey Shed
http://www.sydney.com/destinations/sydney/sydney-west/surrounds/attractions/boyd-fine-art-gallery,Boyd  Gallery
http://www.sydney.com/destinations/sydney/sydney-west/sydney-olympic-park/attractions/brickpit-ring-walk,Brickpit Ring Walk
http://www.sydney.com/destinations/sydney/sydney-west/appin/attractions/broughton-pass,Broughton Pass
http://www.sydney.com/destinations/sydney/sydney-west/surrounds/attractions/burragorang-lookout-and-picnic-area,Burragorang lookout and picnic area
http://www.sydney.com/destinations/sydney/sydney-west/surrounds/attractions/burrawang-reach-picnic-area,Burrawang Reach picnic area
http://www.sydney.com/destinations/sydney/sydney-west/penrith/attractions/cables-wake-park,Cables Wake Park
http://www.sydney.com/destinations/sydney/sydney-west/penrith/attractions/cables-wake-park-penrith,Cables Wake Park Penrith
http://www.sydney.com/destinations/sydney/sydney-west/surrounds/attractions/caleys-lookout-track,Caleys lookout track
http://www.sydney.com/destinations/sydney/sydney-west/surrounds/attractions/calmsley-hill-city-farm,Calmsley Hill City Farm
http://www.sydney.com/destinations/sydney/sydney-west/camden/attractions/camden-golf-club,Camden Golf Club
http://www.sydney.com/destinations/sydney/sydney-west/camden/attractions/camden-historical-museum,Camden Historical Museum
http://www.sydney.com/destinations/sydney/sydney-west/surrounds/attractions/camden-lakeside-country-club,Camden Lakeside Country Club
http://www.sydney.com/destinations/sydney/sydney-west/campbelltown/attractions/campbelltown-arts-centre,Campbelltown Arts Centre
http://www.sydney.com/destinations/sydney/sydney-west/campbelltown/attractions/campbelltown-catholic-club,Campbelltown Catholic Club
http://www.sydney.com/destinations/sydney/sydney-west/campbelltown/attractions/campbelltown-craft-society,Campbelltown Craft Society
http://www.sydney.com/destinations/sydney/sydney-west/campbelltown/attractions/campbelltown-heritage-walk,Campbelltown Heritage Walk
http://www.sydney.com/destinations/sydney/sydney-west/surrounds/attractions/carter-creek-picnic-area,Carter Creek picnic area
http://www.sydney.com/destinations/sydney/sydney-west/surrounds/attractions/casula-powerhouse,Casula Powerhouse
http://www.sydney.com/destinations/sydney/sydney-west/appin/attractions/cataract-dam,Cataract Dam
http://www.sydney.com/destinations/sydney/sydney-west/surrounds/attractions/cattle-duffers-flat-picnic-area,Cattle Duffers Flat picnic area
http://www.sydney.com/destinations/sydney/sydney-west/blacktown/attractions/chang-lai-yuan-chinese-gardens,Chang Lai Yuan Chinese Gardens
http://www.sydney.com/destinations/sydney/sydney-west/surrounds/attractions/chipmunks-playland-and-cafe-villawood,Chipmunks Playland and Cafe Villawood
http://www.sydney.com/destinations/sydney/sydney-west/sydney-olympic-park/attractions/circus-arts-sydney,Circus Arts Sydney
http://www.sydney.com/destinations/sydney/sydney-west/parramatta/attractions/circus-opera-academy,Circus Opera Academy
